Bairro,Local,Referência,Número,latitude,longitude
Ilha do Governador,Corredor Esportivo,Estrada Governador Chagas Freitas,,"-22.796009","-43.205517"
Ilha do Governador,Parque Almirante Sousa Melo,Rua Zumbi,81,"-22.820378","-43.175122"
Ilha do Governador,Parque Manuel Bandeira,Rua Praia da Olaria,,"-22.804866","-43.180777"
Ilha do Governador,Pedra da Onça,Travessa Theotônio Freire,,"-22.789006","-43.161301"
Ilha do Governador,Praça Iaiá Garcia,Rua Paramopama,,"-22.825000","-43.169444"
Ilha do Governador,Praça União Comunitária,Rua Castorino Francisco Nunes,,"-22.812375","-43.179937"
Inhaúma,Praça 24 de Outubro,Rua Padra Januário,101,"-22.872814","-43.281414"
Ipanema,Praça Nossa Senhora da Paz,Rua Barão da Torre,,"-22.983355","-43.205163"
Irajá,Praça do IAPC,Rua Pedro Tenório,,"-22.819097","-43.331975"
Irajá,Praça Ferreira Souto,Rua Marinho Pessoa,,"-22.827898","-43.328751"
Irajá,Praça Nossa Senhora da Apresentação,Estrada da Água Grande,,"-22.830835","-43.326834"
Irajá,Praça Professor Albor Spartaco Artese,Avenida Monsenhor Félix,,"-22.840310","-43.323636"
Jacarepaguá,Conjunto Camorim,Estrada dos Bandeirantes,Rua Abraão Jabour,,"",""
Jardim América,Praça dos Andes,Rua Alvarenga Peixoto,,"-22.811873","-43.318076"
Lagoa,Lagoa Rodrigo de Freitas,Avenida Borges de Medeiros,701,"-22.979980","-43.214535"
Laranjeiras,Parque Eduardo Guinle,Rua Gago Coutinho,,"-22.931144","-43.182568"
Laranjeiras,Praça David Ben-Gurion,Rua das Laranjeiras,,"-22.938272","-43.190672"
Leblon,Praça Antero de Quental,Rua General Urquiza,,"-22.985039","-43.223542"
Leblon,Praça Milton Campos,Rua Padre Achótegui,,"-22.980395","-43.219561"
Leme,Praça Almirante Júlio de Noronha,Rua Gustavo Sampaio,,"-22.962100","-43.164959"
Madureira,Parque Madureira,Rua Antonio de Abreu,,"-22.870036","-43.340416"
Madureira,Praça do Patriarca,Rua Andrade Pinto,,"-22.878120","-43.342060"
Maracanã,UERJ Campus Francisco Negrão de Lima,Rua São Francisco Xavier,524,"-22.911934","-43.236462"
Marechal Hermes,Praça Ailton Henrique da Costa,Conjunto Marechal Henrique Raymundo Dyott Fontenell,,"-22.865768","-43.367849"
Marechal Hermes,Praça XV de Novembro,Avenida General Oswaldo Cordeiro de Farias,,"-22.863744","-43.372613"
Maria da Graça,Praça Inonimada,Professor Boscoli,,"-22.883767","-43.262957"
Mariópolis,Praça Itanhomi,Rua Igarité,,"-22.827255","-43.414968"
